scores,indexedLabel,PF_1,PF_2,PF_3,PF_4,PF_5,NF_1,NF_2,NF_3,NF_4,NF_5,PFW_1,PFW_2,PFW_3,PFW_4,PFW_5,NFW_1,NFW_2,NFW_3,NFW_4,NFW_5
69.39838687,0.0,CM-CountSemicolon_80.0_149.0 * CM-CountLineCode_266.0_inf,MIM-HourPerBrowsing_16.002963_70.65785 * MIM-NumInterruptions_8.636364_11.705882,MIM-HourPerEditing_4.678773_40.635845 * MIM-MaxTimeIntervalBrwsEdit_1221.951111_1971.430457,MIM-NumInterruptions_8.636364_11.705882 * MIM-MaxTimeIntervalBrwsEdit_1221.951111_1971.430457,MIM-MaxTimeIntervalBrwsEdit_1221.951111_1971.430457 * HM-Age_-inf_34.0,CM-MaxCyclomatic_2.0_4.0 * CM-SumCyclomaticStrict_67.0_inf,CM-MaxCyclomatic_2.0_4.0 * CM-SumCyclomatic_61.0_inf,CM-MaxCyclomatic_2.0_4.0 * CM-SumCyclomaticModified_60.0_inf,MIM-NumSelectionEvent_54.0_inf * MIM-TimeSinceLastTask_6276.868794_10044.14389,MIM-HourPerBrowsing_16.002963_70.65785 * MIM-TimeSinceLastTask_6276.868794_10044.14389,0.67588204,0.6921782,0.6990886,0.8854319,1.0593932,-1.2358891,-1.1199882,-1.0773689,-1.0435854,-0.9263855
17.04871221,1.0,MIM-MaxTimeIntervalBrwsBrws_1419.505_2898.446613 * MIM-NumRepeatedEdit_5.0_6.857143,MIM-MaxTimeIntervalBrwsBrws_1419.505_2898.446613 * MIM-NumMultiTasks_7.5_inf,MIM-MaxTimeIntervalBrwsBrws_1419.505_2898.446613 * MIM-NumParallelEdit_8.297872_11.033898,CM-CountLineComment_-inf_16.0 * HM-MaxOfRemovedLines_73.0_inf,CM-CountLine_-inf_71.0 * HM-MaxOfRemovedLines_73.0_inf,MIM-HourPerBrowsing_16.002963_70.65785 * MIM-TimeSpent_286.316254_447.08958,CM-CountLineComment_-inf_16.0 * HM-MaxOfAddedLines_40.0_99.0,MIM-MaxTimeIntervalBrwsBrws_1419.505_2898.446613 * MIM-TimeSpentBeforeEdit_25.366389_102.162073,MIM-TimeSpent_286.316254_447.08958 * HM-WeightedAge_24.299999_56.753769,MIM-NumRareEdit_0.0_inf * CM-AvgEssential_1.0_inf,0.78362185,0.8688992,0.87331456,1.0299587,1.1005958,-0.6600993,-0.6207261,-0.60369354,-0.5516992,-0.52562517
18.6383573,1.0,CM-AvgLine_0.833333_2.4 * HM-#ofBugFixing_18.0_39.0,MIM-NumEditEvent_36.0_inf * HM-AvgOfCodeChurn_0.363636_1.6,MIM-MaxTimeIntervalBrwsEdit_2212.473333_inf * MIM-NumMultiTasks_2.5_3.982968,HM-MaxOfRemovedLines_26.0_73.0 * HM-AvgOfRemovedLines_0.0_1.0,MIM-HourPerEditing_40.635845_inf * HM-SumOfRemovedLines_60.0_178.0,MIM-MaxTimeIntervalBrwsBrws_4339.3225_inf * CM-MaxCyclomaticStrict_12.0_inf,CM-AvgEssential_1.0_inf * CM-AvgEssential_1.0_inf,MIM-NumRareEdit_0.0_inf * CM-AvgEssential_1.0_inf,CM-AvgEssential_1.0_inf * CM-CountDeclMethodDefault_0.0_inf,CM-AvgEssential_1.0_inf * CM-CountDeclClassVariable_0.0_inf,0.6712387,0.67684025,0.7222165,0.8586848,0.8766672,-0.5915108,-0.52562517,-0.52562517,-0.52562517,-0.52562517
60.64117926,0.0,MIM-TimeSpentAfterEdit_-inf_0.356111 * MIM-TimeSpentBeforeEdit_0.073889_0.315,MIM-TimeSpent_-inf_39.396889 * MIM-NumInterruptions_16.382353_inf,CM-AvgLineCode_0.153846_0.375 * HM-MaxOfRemovedLines_2.0_9.0,MIM-TimeSinceLastTask_10044.14389_inf * MIM-NumMultiTasks_2.5_3.982968,MIM-NumRepeatedEdit_-inf_3.111111 * MIM-RatioCodeUnderstandingEffort_0.777555_0.808528,MIM-NumInterruptions_16.382353_inf * MIM-NumParallelEdit_5.125_8.297872,MIM-NumInterruptions_16.382353_inf * MIM-NumRepeatedEdit_-inf_3.111111,MIM-NumInterruptions_16.382353_inf * MIM-NumRepeatedBrws_6.571429_10.35,MIM-NumRepeatedBrws_6.571429_10.35 * CM-MaxInheritanceTree_-inf_1.0,MIM-NumRepeatedBrws_6.571429_10.35 * CM-CountClassBase_-inf_1.0,0.52222824,0.53929245,0.55213976,0.5859652,0.761745,-1.2713715,-1.1741837,-0.9940475,-0.7132054,-0.7132054
20.41256332,1.0,CM-CountLineCode_266.0_inf * CM-CountLineComment_27.0_49.0,CM-CountLineComment_27.0_49.0 * HM-SumOfCodeChurn_98.0_inf,MIM-TimeSpent_135.032431_286.316254 * MIM-HourPerEditing_4.678773_40.635845,CM-CountLine_407.0_inf * CM-CountLineComment_27.0_49.0,MIM-NumMultiTasks_7.5_inf * HM-NumOfAuthors_4.0_inf,MIM-HourPerBrowsing_16.002963_70.65785 * CM-CountLineComment_27.0_49.0,CM-CountSemicolon_149.0_inf * CM-SumCyclomaticStrict_30.0_67.0,CM-CountClassCoupled_1.0_3.0 * HM-NumOfAuthors_4.0_inf,MIM-HourPerBrowsing_16.002963_70.65785 * CM-SumCyclomaticStrict_30.0_67.0,CM-CountStmt_202.0_inf * CM-SumCyclomaticStrict_30.0_67.0,0.7711977,0.7745637,0.95526683,1.2758694,1.3977518,-0.84507364,-0.6813225,-0.6523398,-0.6466288,-0.6412535
